time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1625554196.47944,4343.04985004778,11583.1162042,6556.17457058611,9442.76617310839,866.199168782792,887.929051219747,905.756037793842,904.191351429552,895.897873644089,876.208308565948,872.715875872555,874.082375980662,867.163767693277,873.471235931671,885.74093277888,890.768769097795,916.49877250327,886.093110231651,879.096126711977,872.080844876208,867.272160281881,820.953713676965,816.061884908246,802.666805094119,817.475381892323,814.840475185174,784.696756715612,756.68751806806,713.942574721525,680.283029334115,592.007601302551,357.974859452448,1225.48969803911,340.124977030503,552.984629081135,624.577457166043,637.216603675705,654.471542544059,663.71756041256,664.711967697288,645.613661565491,645.613661565491,590.641177027136,574.7181918123,557.247700757931,522.1877057151,499.524774160401,443.067714915,409.121008993672,390.243513719319,350.005714239068,315.398161059953,284.397608991356,224.555115728856,223.647043351796,193.258893715141,175.889169649527,183.521115951271,182.912547409958,239.676865800602,312.078515761659,0,2146.56772546314,4778.18459249954
1625554196.59808,4343.04985004778,11583.1162042,6556.17457058611,9442.76617310839,840.401094716089,859.684825968215,886.599120234168,888.981439626273,879.275269753449,863.391568177499,854.110063165164,829.752372699229,857.818745423531,862.78618440492,863.935182753892,867.421466185844,846.424243509128,860.832736366363,855.462448036148,863.11992214292,856.320617525936,809.938269252664,804.174732256616,790.509961986565,807.089214399499,779.194455832432,777.604655335859,766.415683555602,696.570168755453,672.086303981862,583.8852627015,349.468167362923,1225.48969803911,340.154376717396,542.554144763451,618.142378421024,617.82359941977,658.678980991499,656.269761607222,649.592179755883,644.426101271511,604.355028108479,583.723393397935,564.163983253096,553.658739658285,520.504562900269,489.984693638485,433.253967090897,405.938418975095,386.524255383799,342.84107105188,307.05862632403,277.194877297543,224.804359388336,228.116198460346,205.80573364219,178.809954980141,191.08375127153,169.543504741408,230.412673262562,296.319084771805,0,2146.56772546314,4778.18459249954
1625554196.70862,4343.04985004778,11583.1162042,6556.17457058611,9442.76617310839,830.003614449961,846.435467120796,868.25629856627,857.184344234074,845.56844785032,824.869686677841,827.835732497698,836.459801783684,841.675115469146,845.431250900982,864.588919660667,835.550118185618,869.751688702011,853.407874348485,804.901236177458,796.430160152163,793.051070234446,830.171668993829,813.823690979809,806.939898629384,741.836909300151,781.517114335956,722.053322130714,692.318568290639,716.89678476054,617.392095835378,530.904887903662,364.137336728878,1225.48969803911,342.947517850764,492.107711786759,556.486298124222,631.526721524909,584.578480616589,596.66154560186,645.273585388399,575.782076831157,619.666039088798,614.342738217031,580.599689975804,487.468973371639,455.386648903984,421.85898117736,461.345857248117,420.525861273715,339.554119397777,372.435229268124,340.922278532806,305.601047118625,238.415603516213,189.928934077986,167.868996541946,162.003086390352,211.981131235778,199.251097863977,175.635987200801,157.848028179005,0,2146.56772546314,4778.18459249954
1625554197.00477,4343.04985004778,11583.1162042,6556.17457058611,9442.76617310839,799.11576132623,837.195914944644,884.864961448921,890.982042467748,900.568709205466,894.215298460052,869.888498601976,872.570914023611,856.703566001683,858.264527986564,875.426753075322,900.384917687985,883.602851964614,855.862138431185,891.000561167051,881.540696734983,885.691819991582,819.458967856231,808.948082388481,790.230978891615,835.936002335107,782.065214672025,808.486239833431,789.23063802668,707.02545923043,699.483380788994,599.730772930654,360.099986114968,1225.48969803911,340.124977030503,560.044641077834,645.728271024275,629.363170196668,698.258548103781,688.44535004603,644.643312227778,682.074775959352,611.255265825989,568.148748128516,560.482827569231,592.422990776016,563.798722949955,532.580510345619,421.199477682487,393.029260997193,413.566197845037,311.770749109021,276.342179190944,249.018071633366,265.414769747277,270.248034220418,249.064248739156,227.369742929881,131.552270980018,113.137084989848,92.0706250657613,85,0,2146.56772546314,4778.18459249954
1625554197.07929,4343.04985004778,11583.1162042,6556.17457058611,9442.76617310839,864.070020310854,884.67225569699,910.140648471433,897.42743439233,899.608803869771,876.25624106194,874.002288326524,852.099172631919,867.94124225088,883.448357290906,882.818780951108,883.224207095797,911.542099960282,884.265231703701,872.844774286929,863.384618811338,853.478763649102,854.393937244407,823.743892238358,829.002412541725,804.052858958912,815.473482094912,784.461598805193,765.540985186293,729.488176737636,671.292782621711,588.918500303735,369.817522570254,1225.48969803911,355.140817141595,554.938735357337,622.274055380746,641.788906105427,655.412084111973,669.102383794887,685.880456056302,652.651514975642,650.369125958482,621.186767405746,597.129801634452,557.286281905449,531.116747994262,483.472853426126,473.94197957134,433.206648148433,376.860716976445,370.109443273203,346.770817687994,302.86960890786,233.540146441677,209.570990358876,179.044687159379,159.765453086705,195.473783408415,181.796589626978,174.977141364237,179.426865324009,0,2146.56772546314,4778.18459249954
1625554197.09366,4343.04985004778,11583.1162042,6556.17457058611,9442.76617310839,882.655651995726,887.137531615025,897.005016708379,896.701176535416,887.595065331033,873.87069981777,856.887974008271,872.055044134257,867.421466185844,891.176750145559,884.494205746991,863.669496972077,866.77621102566,883.579651191674,842.854673119868,835.174831996271,836.844071497194,866.225143943536,860.488814569951,848.571741221684,781.798567407232,801.130451299912,747.125156851247,734.697216545701,741.42835122485,639.878894791819,556.924590945668,387.072344659238,1225.48969803911,383.563554055909,515.861415498387,599.226167652915,677.366222954762,649.819975070019,630.967511049499,681.37801549507,616.636035275267,663.549546002407,641.626838590781,613.909602466031,525.78037239897,489.826499895626,455.1889717469,490.732106143464,459.743406695517,369.774255458651,380.42213395122,352.846992335205,310.942116799896,265.414769747277,209.346602551845,180.709711969224,167.044904142569,191.635069859355,160.44001994515,147.922276888912,167.287178229534,0,2146.56772546314,4778.18459249954
1625554197.11776,4343.04985004778,11583.1162042,6556.17457058611,9442.76617310839,813.448215930185,828.616316518085,844.63601628157,859.39513612773,828.232455292595,822.268204419945,803.299446034914,815.43607965309,826.513762740827,828.842566474478,835.158068870798,826.942561487798,878.956767992602,829.798168231287,791.403816013039,788.868176566909,786.043255807211,800.747775519857,801.499844042405,775.81763321028,752.1096994455,759.500493745725,711.519500786872,692.122821470294,698.290770381508,625.617295157351,524.82854343109,362.415507394482,1225.48969803911,343.0714211356,493.568637577389,568.476032916076,628.924478773088,605.465936283785,604.702406147024,642.24138764175,587.205245208181,612.943716828878,590.007627069346,577.020796852245,496.004032241674,458.573876272951,433.335897428311,444.932579162282,430.297571454918,331.789089633761,364.1661708616,332.989489323612,300.123307991899,238.096619043614,182.439030911699,159.012578118839,149.201206429439,208.002403832263,196.758735511285,235.98728779322,279.016128566074,0,2146.56772546314,4778.18459249954
1625554197.16472,4343.04985004778,11583.1162042,6556.17457058611,9442.76617310839,852.129684965851,868.659887412789,884.859875912565,896.825512571983,870.553846697607,859.080904222646,838.772913248872,859.028521063183,859.200209497181,874.849701377328,870.898960844483,836.961767346633,883.294967720297,882.83237367011,822.976305855764,823.099629449558,826.370377010212,855.493424872453,850.209974065231,832.947777474675,770.148686942982,801.610878169701,740.769869797632,723.469418842289,723.469418842289,635.00708657463,552.750395748388,378.382082028206,1225.48969803911,365.395675945953,513.751885641308,585.123063978852,670.666832339277,629.098561435329,627.6471938916,669.148712918137,607.892260190899,665.586207789795,640.875963038091,611.35914158537,524.630346053295,485.372022267456,456.483296518065,482.029044768051,452.14378244094,351.819556022686,384.884398228871,346.099696619341,319.330549744305,242.99794237812,195.358644548942,168.35973390333,155.012902688776,206.344372348751,188.904737897174,158.028478446133,138.77319625922,0,2146.56772546314,4778.18459249954
1625554197.21197,4343.04985004778,11583.1162042,6556.17457058611,9442.76617310839,831.291164394281,856.488762331415,894.910610061139,885.890512422387,909.462478610305,887.856970463148,875.445600822804,877.542591558951,862.473187989053,869.85630997309,868.337491992601,892.932808222433,898.100773855585,866.750829246791,885.629719465195,869.326750997575,867.009803866139,847.000590318566,831.538934746894,829.769245031412,812.51769211507,789.645490077668,789.430807607608,765.044443153468,743.424508608641,685.186835833848,584.337231399814,375.91754415031,1225.48969803911,363.521663728587,548.847884208366,618.328391714306,669.047830876089,672.54888298175,668.852749115977,651.411544263686,660.552798798098,649.646827129942,622.675678021874,588.650150768689,585.615915084281,551.710068786133,506.928002777515,448.777227586249,418.168626274138,407,338.096140173176,304.055915910215,273.029302456714,290.657874484763,252.841847802139,252.841847802139,216.333076527839,138.050715318683,109.224539367305,83.240615086627,106.962610289764,0,2146.56772546314,4778.18459249954
1625554197.22327,4343.04985004778,11583.1162042,6556.17457058611,9442.76617310839,848.217542850889,877.068982463751,902.889251237382,913.840795762588,887.608584906658,879.821004523079,858.666990165571,867.26524201077,871.754552612144,874.515294320231,874.515294320231,862.847031634229,877.706670818902,891.830701422641,848.958185071562,842.493916891986,841.499851455721,860.444652490792,865.72628468818,841.007134333592,793.357422603457,821.367761724308,757.0237776979,742.19471838595,756.518340821953,650.332222790783,560.330259757583,384.759665245722,1225.48969803911,369.411694454845,522.120675706297,600.404030632707,682.756911352789,643.342832399647,638.549136715414,677.821510428815,631.845709014471,670.391676559308,655.985518132832,622.788085948985,529.4572692862,499.268464856334,454.47222137332,489.58043261552,469.910629801029,351.454122183821,392.506050908773,345.175317773447,323.154761685481,247.38633753706,185.744448100071,156.84705926475,142.635900109334,200.688813838739,177.476759041853,157.835357255591,145.38225476309,0,2146.56772546314,4778.18459249954
